"ClientId","ConsentType","ExpiryTime","ObjectId","PrincipalId","ResourceId","Scope","StartTime"
"316d0ecb-81c4-4b37-80c6-4e84fe284288","Principal","6/9/2022 4:43:38 AM","yw5tMcSBN0uAxk6E_ihCiG1rkel6pnZPijM5l-i64B-kJhE_lBkfSbY1j0izcYki","3f1126a4-1994-491f-b635-8f48b3718922","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid email profile User.Read","1/1/0001 12:00:00 AM"
"e9624927-dbbd-41d3-88a2-4a103c46f107","AllPrincipals","6/15/2022 6:35:25 PM","J0li6b3b00GIokoQPEbxB21rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email offline_access","1/1/0001 12:00:00 AM"
"11ac363e-2a47-4c64-ae21-ee09504e561f","Principal","6/19/2022 4:19:13 PM","PjasEUcqZEyuIe4JUE5WH21rkel6pnZPijM5l-i64B8CyHAox_yAS7iA-kW9YDjO","2870c802-fcc7-4b80-b880-fa45bd6038ce","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," User.Read","1/1/0001 12:00:00 AM"
"edd54317-9203-49be-9120-c553f9f5ed78","Principal","6/20/2022 2:52:52 PM","F0PV7QOSvkmRIMVT-fXteG1rkel6pnZPijM5l-i64B-pwPIRqsjDSqvGM_K0uO-g","11f2c0a9-c8aa-4ac3-abc6-33f2b4b8efa0","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," profile openid User.Read Files.ReadWrite.All","1/1/0001 12:00:00 AM"
"91187897-ede8-4e64-a0ff-e38689977a6a","Principal","6/27/2022 9:08:46 PM","l3gYkejtZE6g_-OGiZd6am1rkel6pnZPijM5l-i64B_1GEPtDnT5QqUvK1KlC5wK","ed4318f5-740e-42f9-a52f-2b52a50b9c0a","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile","1/1/0001 12:00:00 AM"
"dcd0de5a-7b47-43d7-9465-051f31ab5915","Principal","7/12/2022 2:55:20 AM","Wt7Q3Ed710OUZQUfMatZFW1rkel6pnZPijM5l-i64B8Y6IXceCxJRJA6zDgDzNHX","dc85e818-2c78-4449-903a-cc3803ccd1d7","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," profile offline_access email openid User.Read Files.ReadWrite.All","1/1/0001 12:00:00 AM"
"9fbf68f3-364d-47f5-ab85-b278dd2a2edd","Principal","7/13/2022 5:50:41 PM","82i_n0029UerhbJ43Sou3W1rkel6pnZPijM5l-i64B9if2ifyIJZRolsTwoxMdgt","9f687f62-82c8-4659-896c-4f0a3131d82d","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email","1/1/0001 12:00:00 AM"
"9fbf68f3-364d-47f5-ab85-b278dd2a2edd","Principal","7/16/2022 11:22:32 PM","82i_n0029UerhbJ43Sou3W1rkel6pnZPijM5l-i64B-srBVkli-sQY9_SIDhKR2B","6415acac-2f96-41ac-8f7f-4880e1291d81","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email","1/1/0001 12:00:00 AM"
"9fbf68f3-364d-47f5-ab85-b278dd2a2edd","Principal","7/16/2022 4:01:53 AM","82i_n0029UerhbJ43Sou3W1rkel6pnZPijM5l-i64B8TyRwmjfZ7QpA0kPlVQ_GS","261cc913-f68d-427b-9034-90f95543f192","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email","1/1/0001 12:00:00 AM"
"9fbf68f3-364d-47f5-ab85-b278dd2a2edd","Principal","7/12/2022 2:03:03 PM","82i_n0029UerhbJ43Sou3W1rkel6pnZPijM5l-i64B9JZqGfgH6cRKriNuRZ4o3v","9fa16649-7e80-449c-aae2-36e459e28def","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email","1/1/0001 12:00:00 AM"
"9fbf68f3-364d-47f5-ab85-b278dd2a2edd","Principal","7/12/2022 1:25:41 PM","82i_n0029UerhbJ43Sou3W1rkel6pnZPijM5l-i64B8Y6IXceCxJRJA6zDgDzNHX","dc85e818-2c78-4449-903a-cc3803ccd1d7","e9916b6d-a67a-4f76-8a33-3997e8bae01f"," openid profile email","1/1/0001 12:00:00 AM"
"8a53e91b-2b88-44ae-be5c-a71daee53726","AllPrincipals","7/16/2022 11:19:14 PM","G-lTiogrrkS-XKcdruU3Jm1rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f","User.Read","1/1/0001 12:00:00 AM"
"8a53e91b-2b88-44ae-be5c-a71daee53726","AllPrincipals","7/16/2022 11:19:14 PM","G-lTiogrrkS-XKcdruU3Jij8gZWIMplCsm8Yc3kAmLk",,"9581fc28-3288-4299-b26f-1873790098b9","AdvancedHunting.Read","1/1/0001 12:00:00 AM"
"2b395080-4d0c-4fae-9397-dac67aeca5ab","AllPrincipals","7/17/2022 3:18:19 PM","gFA5KwxNrk-Tl9rGeuylq21rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f","User.Read","1/1/0001 12:00:00 AM"
"4d3a6575-20c4-486b-a110-a63c3bcaa187","Principal","7/20/2022 4:34:34 PM","dWU6TcQga0ihEKY8O8qhhw1MWvG5IFlLjpcepoZ9ztCrZ0RVOCXgT7S88M-4_tzA","554467ab-2538-4fe0-b4bc-f0cfb8fedcc0","f15a4c0d-20b9-4b59-8e97-1ea6867dced0","User.Read User.ReadBasic.All","1/1/0001 12:00:00 AM"
"6b8c52b7-86e6-4b78-b0d1-c23a4c296949","Principal","7/20/2022 4:34:34 PM","t1KMa-aGeEuw0cI6TClpSQ1MWvG5IFlLjpcepoZ9ztCrZ0RVOCXgT7S88M-4_tzA","554467ab-2538-4fe0-b4bc-f0cfb8fedcc0","f15a4c0d-20b9-4b59-8e97-1ea6867dced0","User.Read","1/1/0001 12:00:00 AM"
"6b8c52b7-86e6-4b78-b0d1-c23a4c296949","Principal","7/20/2022 4:34:34 PM","t1KMa-aGeEuw0cI6TClpSXVlOk3EIGtIoRCmPDvKoYerZ0RVOCXgT7S88M-4_tzA","554467ab-2538-4fe0-b4bc-f0cfb8fedcc0","4d3a6575-20c4-486b-a110-a63c3bcaa187","openid email user.read user.readbasic.all","1/1/0001 12:00:00 AM"
"d309aec8-7e93-4e7c-ae95-1c918579ea20","AllPrincipals","7/24/2022 9:21:21 PM","yK4J05N-fE6ulRyRhXnqIG1rkel6pnZPijM5l-i64B8",,"e9916b6d-a67a-4f76-8a33-3997e8bae01f","User.Read","1/1/0001 12:00:00 AM"
